dataset,id,segment_id,stage,audited_stage,audit_status
gsm8k,gsm8k-test-610,1,final,final,reviewed_correct
gsm8k,gsm8k-test-61,4,final,final,reviewed_correct
gsm8k,gsm8k-test-189,5,final,final,reviewed_correct
gsm8k,gsm8k-test-902,2,final,final,reviewed_correct
gsm8k,gsm8k-test-819,2,final,final,reviewed_correct
gsm8k,gsm8k-test-306,3,final,final,reviewed_correct
gsm8k,gsm8k-test-571,1,final,final,reviewed_correct
gsm8k,gsm8k-test-145,3,final,final,reviewed_correct
gsm8k,gsm8k-test-1258,5,final,final,reviewed_correct
gsm8k,gsm8k-test-1167,2,final,final,reviewed_correct
gsm8k,gsm8k-test-841,2,final,final,reviewed_correct
gsm8k,gsm8k-test-120,3,final,final,reviewed_correct
gsm8k,gsm8k-test-832,3,final,final,reviewed_correct
gsm8k,gsm8k-test-1221,2,final,final,reviewed_correct
gsm8k,gsm8k-test-449,0,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-1144,3,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-918,1,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-683,1,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-303,5,reasoning,setup,reviewed_corrected
gsm8k,gsm8k-test-1087,1,reasoning,setup,reviewed_corrected
gsm8k,gsm8k-test-291,3,reasoning,setup,reviewed_corrected
gsm8k,gsm8k-test-1230,3,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-645,1,reasoning,setup,reviewed_corrected
gsm8k,gsm8k-test-729,1,reasoning,setup,reviewed_corrected
gsm8k,gsm8k-test-709,0,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-178,3,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-110,5,reasoning,setup,reviewed_corrected
gsm8k,gsm8k-test-93,1,reasoning,setup,reviewed_corrected
gsm8k,gsm8k-test-34,2,setup,setup,reviewed_correct
gsm8k,gsm8k-test-250,0,setup,setup,reviewed_correct
gsm8k,gsm8k-test-467,1,setup,setup,reviewed_correct
gsm8k,gsm8k-test-434,0,setup,setup,reviewed_correct
gsm8k,gsm8k-test-1004,2,setup,setup,reviewed_correct
gsm8k,gsm8k-test-240,0,setup,setup,reviewed_correct
gsm8k,gsm8k-test-730,0,setup,setup,reviewed_correct
gsm8k,gsm8k-test-659,1,setup,setup,reviewed_correct
gsm8k,gsm8k-test-941,3,setup,setup,reviewed_correct
gsm8k,gsm8k-test-697,1,setup,setup,reviewed_correct
gsm8k,gsm8k-test-809,4,setup,setup,reviewed_correct
gsm8k,gsm8k-test-947,0,setup,setup,reviewed_correct
gsm8k,gsm8k-test-927,3,setup,setup,reviewed_correct
gsm8k,gsm8k-test-33,0,setup,setup,reviewed_correct
math500,test/precalculus/441.json,4,final,final,reviewed_correct
math500,test/algebra/351.json,3,final,final,reviewed_correct
math500,test/algebra/2023.json,5,final,final,reviewed_correct
math500,test/number_theory/109.json,5,final,final,reviewed_correct
math500,test/prealgebra/2019.json,1,final,final,reviewed_correct
math500,test/number_theory/753.json,2,final,final,reviewed_correct
math500,test/counting_and_probability/190.json,5,final,final,reviewed_correct
math500,test/algebra/1098.json,2,final,final,reviewed_correct
math500,test/prealgebra/2037.json,3,final,final,reviewed_correct
math500,test/number_theory/515.json,2,final,final,reviewed_correct
math500,test/intermediate_algebra/1354.json,3,final,final,reviewed_correct
math500,test/number_theory/156.json,1,final,final,reviewed_correct
math500,test/number_theory/483.json,2,final,final,reviewed_correct
math500,test/algebra/2743.json,1,final,final,reviewed_correct
math500,test/algebra/2780.json,1,reasoning,setup,reviewed_corrected
math500,test/number_theory/342.json,0,reasoning,reasoning,reviewed_correct
math500,test/geometry/1140.json,0,reasoning,setup,reviewed_corrected
math500,test/algebra/2570.json,1,reasoning,reasoning,reviewed_correct
math500,test/prealgebra/1227.json,0,reasoning,setup,reviewed_corrected
math500,test/algebra/873.json,0,reasoning,reasoning,reviewed_correct
math500,test/geometry/221.json,3,reasoning,setup,reviewed_corrected
math500,test/algebra/2780.json,2,reasoning,setup,reviewed_corrected
math500,test/intermediate_algebra/2046.json,1,reasoning,reasoning,reviewed_correct
math500,test/counting_and_probability/230.json,2,reasoning,reasoning,reviewed_correct
math500,test/number_theory/631.json,5,reasoning,reasoning,reviewed_correct
math500,test/number_theory/521.json,2,reasoning,reasoning,reviewed_correct
math500,test/prealgebra/1298.json,1,reasoning,reasoning,reviewed_correct
math500,test/geometry/456.json,4,reasoning,reasoning,reviewed_correct
math500,test/algebra/1529.json,0,setup,setup,reviewed_correct
math500,test/algebra/1332.json,0,setup,setup,reviewed_correct
math500,test/prealgebra/1572.json,0,setup,setup,reviewed_correct
math500,test/number_theory/612.json,0,setup,setup,reviewed_correct
math500,test/prealgebra/378.json,0,setup,setup,reviewed_correct
math500,test/algebra/1349.json,0,setup,setup,reviewed_correct
math500,test/algebra/661.json,0,setup,setup,reviewed_correct
math500,test/prealgebra/1743.json,0,setup,setup,reviewed_correct
math500,test/algebra/351.json,0,setup,setup,reviewed_correct
math500,test/number_theory/1172.json,1,setup,setup,reviewed_correct
math500,test/prealgebra/1640.json,0,setup,setup,reviewed_correct
math500,test/prealgebra/631.json,5,setup,reasoning,reviewed_corrected
math500,test/algebra/2199.json,0,setup,setup,reviewed_correct
math500,test/number_theory/1032.json,0,setup,setup,reviewed_correct
math500,test/algebra/305.json,2,verification,reasoning,reviewed_corrected
math500,test/algebra/567.json,5,verification,verification,reviewed_correct
math500,test/number_theory/22.json,1,verification,verification,reviewed_correct
math500,test/number_theory/1128.json,2,verification,verification,reviewed_correct
math500,test/prealgebra/1834.json,1,verification,verification,reviewed_correct
math500,test/algebra/2251.json,2,verification,verification,reviewed_correct
math500,test/algebra/858.json,3,verification,verification,reviewed_correct
math500,test/algebra/2023.json,4,verification,verification,reviewed_correct
math500,test/intermediate_algebra/1354.json,1,verification,verification,reviewed_correct
math500,test/intermediate_algebra/2046.json,4,verification,verification,reviewed_correct
math500,test/intermediate_algebra/834.json,5,verification,verification,reviewed_correct
gsm8k,gsm8k-test-892,5,final,final,reviewed_correct
gsm8k,gsm8k-test-1062,1,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-1270,3,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-296,4,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-621,1,reasoning,reasoning,reviewed_correct
